,komentar,score,value,,jika score,maka,,,,,,komentar,score,value
1729,"BANYAK BUG,LAGI ENAK ENAK NONTON TV TIBA TIBA ADA NOTIF TUGAS,BUG INI SANGAT MENGGANGGUKAN TOLONG SEGERA DI FIX!AGAR GURU SAYA BERHENTI MENGIRIMKAN TUGAS",1,NEGATIVE,,,,,,,,1729,"BANYAK BUG,LAGI ENAK ENAK NONTON TV TIBA TIBA ADA NOTIF TUGAS,BUG INI SANGAT MENGGANGGUKAN TOLONG SEGERA DI FIX!AGAR GURU SAYA BERHENTI MENGIRIMKAN TUGAS",1,NEGATIVE
1730,Karna aplikasi ini saya jadi dapat tugas setiap hari,1,NEGATIVE,,,,,,,,1730,Karna aplikasi ini saya jadi dapat tugas setiap hari,1,NEGATIVE
1731,Apk nya bagus banget tpi kok aneh banyak notif pr jadi ak kasih bintang satu,1,NEGATIVE,,,,,,,,1731,Apk nya bagus banget tpi kok aneh banyak notif pr jadi ak kasih bintang satu,1,NEGATIVE
1732,Claasroom ini memang bagus tapi tergadang gak bisa namaku airin aku berusia 8 tahun aku pakek hape bunda ku.,4,POSITIVE,,,,,,,,1732,Claasroom ini memang bagus tapi tergadang gak bisa namaku airin aku berusia 8 tahun aku pakek hape bunda ku.,4,POSITIVE
1733,"Mau mengirimkan tugas malah erorr ,jadi nggak dapat nilai,I hate you but I need you",1,NEGATIVE,,,,,,,,1733,"Mau mengirimkan tugas malah erorr ,jadi nggak dapat nilai,I hate you but I need you",1,NEGATIVE
1734,Postingan & tugas udah dijadwalkan tp kenapa ga mau keposting? Kadang malah keposting tp tdk sesuai jdwal Trus bikin postingannya jadi ga urut & runtut Sedih bgt kan...,2,NEGATIVE,,,,,,,,1734,Postingan & tugas udah dijadwalkan tp kenapa ga mau keposting? Kadang malah keposting tp tdk sesuai jdwal Trus bikin postingannya jadi ga urut & runtut Sedih bgt kan...,2,NEGATIVE
1735,"Terlalu lambat mengirim tugasnya, lodiang nya parah banget... Benerin napa ngab pusing nih gw... Gw tunggu pembaruan nya ngab ✋",1,NEGATIVE,,,,,,,,1735,"Terlalu lambat mengirim tugasnya, lodiang nya parah banget... Benerin napa ngab pusing nih gw... Gw tunggu pembaruan nya ngab ✋",1,NEGATIVE
1736,"Paan ni kalo mau ngirim tugas ada bacaan ""tidak dapat mengirim tugas beri tahu pengajar""",1,NEGATIVE,,,,,,,,1736,"Paan ni kalo mau ngirim tugas ada bacaan ""tidak dapat mengirim tugas beri tahu pengajar""",1,NEGATIVE
1737,ini apk nya jelek banget masa tadi siang gada tugas pas malem tugas bejibun tolong buat classroom bug tugas nya di hilang kan saya cape mengerjakan nya,1,NEGATIVE,,,,,,,,1737,ini apk nya jelek banget masa tadi siang gada tugas pas malem tugas bejibun tolong buat classroom bug tugas nya di hilang kan saya cape mengerjakan nya,1,NEGATIVE
1738,Aku sudah ngerjain tugas tapii pas mau upload file ke guru malah gak bisa tolong di perbaiki,1,NEGATIVE,,,,,,,,1738,Aku sudah ngerjain tugas tapii pas mau upload file ke guru malah gak bisa tolong di perbaiki,1,NEGATIVE
1739,Kenapa ya saya mau kirim file tugas ke google classroom gagal terus? Tolong bantu dong,1,NEGATIVE,,,,,,,,1739,Kenapa ya saya mau kirim file tugas ke google classroom gagal terus? Tolong bantu dong,1,NEGATIVE
1740,Aplikasinya bagus sebenernya tapi knpa pada hate kan namanya juga belajar online jadi banyak tugas dari guru kalo gak mau belajar gausah sekolah,5,POSITIVE,,,,,,,,1740,Aplikasinya bagus sebenernya tapi knpa pada hate kan namanya juga belajar online jadi banyak tugas dari guru kalo gak mau belajar gausah sekolah,5,POSITIVE
1741,"Barang sesuai pesanan, worth it sekalii harga segitu realpict seller ramah. Next order lagii☺️😍👍👍👍",5,POSITIVE,,,,,,,,1741,"Barang sesuai pesanan, worth it sekalii harga segitu realpict seller ramah. Next order lagii☺️😍👍👍👍",5,POSITIVE
1742,"Tolong aplikasinya di perbaiki, setiap gue bangun pagi ada notif trus dari guru tolong lah bug nih",1,NEGATIVE,,,,,,,,1742,"Tolong aplikasinya di perbaiki, setiap gue bangun pagi ada notif trus dari guru tolong lah bug nih",1,NEGATIVE
1743,Tolong di perbaiki ini kenapa tugas tidak ada di clasrom padahal di email ada notifikasi nya dan di clasrom gak ada tugasnya tolong di perbaiki ini meresahkan,2,NEGATIVE,,,,,,,,1743,Tolong di perbaiki ini kenapa tugas tidak ada di clasrom padahal di email ada notifikasi nya dan di clasrom gak ada tugasnya tolong di perbaiki ini meresahkan,2,NEGATIVE
1744,Mohon maaf kok ada bug notif tugas ya tolong diperbaiki meresahkan soalnya,2,NEGATIVE,,,,,,,,1744,Mohon maaf kok ada bug notif tugas ya tolong diperbaiki meresahkan soalnya,2,NEGATIVE
1745,Apk nya sih bagus tapi tolong kalau ada tugas dari guru mohon notifikasinya bisa berbunyi agar saya tidak perlu menunggu di classrom,5,POSITIVE,,,,,,,,1745,Apk nya sih bagus tapi tolong kalau ada tugas dari guru mohon notifikasinya bisa berbunyi agar saya tidak perlu menunggu di classrom,5,POSITIVE
1746,Aplikasi ini banyak bug nya tugasnya semakin banyak gua jadi pusing karena guru saya mengirimkan tugas sehari 10 lembar tugad,1,NEGATIVE,,,,,,,,1746,Aplikasi ini banyak bug nya tugasnya semakin banyak gua jadi pusing karena guru saya mengirimkan tugas sehari 10 lembar tugad,1,NEGATIVE
1747,Aplikasi ini sangat tidak membantu lagi enak² tiduran tiba² ada notif untuk mengerjakan tugas🗿,1,NEGATIVE,,,,,,,,1747,Aplikasi ini sangat tidak membantu lagi enak² tiduran tiba² ada notif untuk mengerjakan tugas🗿,1,NEGATIVE
1748,"Loading-nya Lama, Padahal Jaringan 4G/Bagus.. Kenapa Setiap Mau Upload File Harus Nunggu Loading.. Developer Tolong Diperbaiki Lagi✨",1,NEGATIVE,,,,,,,,1748,"Loading-nya Lama, Padahal Jaringan 4G/Bagus.. Kenapa Setiap Mau Upload File Harus Nunggu Loading.. Developer Tolong Diperbaiki Lagi✨",1,NEGATIVE
1749,bug dimana mana,2,NEGATIVE,,,,,,,,1749,bug dimana mana,2,NEGATIVE
1750,Sangat membantu perkuliahan saya bagus,5,POSITIVE,,,,,,,,1750,Sangat membantu perkuliahan saya bagus,5,POSITIVE
1751,"SAYA SANGAT HERAN MENGAPA GOOGLE CLASSROOM INI LAMBAT SEKALI DALAM MENGIRIM FILE FOTO,PADAHAL SINYAL BAGUS.SAYA JADI PENGEN NANGIS KARENA MENGUPLOADNYA CUKUP LAMA DAN ITU MEMBUAT SAYA TERLAMBAT MENGUMPULKAN TUGAS.MOHON DIPERBAIKI ATAU TIDAK SAYA AKAN LAPORKAN APLIKASI INI",1,NEGATIVE,,,,,,,,1751,"SAYA SANGAT HERAN MENGAPA GOOGLE CLASSROOM INI LAMBAT SEKALI DALAM MENGIRIM FILE FOTO,PADAHAL SINYAL BAGUS.SAYA JADI PENGEN NANGIS KARENA MENGUPLOADNYA CUKUP LAMA DAN ITU MEMBUAT SAYA TERLAMBAT MENGUMPULKAN TUGAS.MOHON DIPERBAIKI ATAU TIDAK SAYA AKAN LAPORKAN APLIKASI INI",1,NEGATIVE
1752,Memudahkan untuk para pelajar dalam mengerjakan tugas,5,POSITIVE,,,,,,,,1752,Memudahkan untuk para pelajar dalam mengerjakan tugas,5,POSITIVE
1753,Masih belum ku pakek.... Nggak tau jadi aplikasinya lek gimana? Pokok di suruh dosen pakek aplikasi ini Yaa ku instal Aja😌 menu menuhin hp,2,NEGATIVE,,,,,,,,1753,Masih belum ku pakek.... Nggak tau jadi aplikasinya lek gimana? Pokok di suruh dosen pakek aplikasi ini Yaa ku instal Aja😌 menu menuhin hp,2,NEGATIVE
1754,"Banyak Bug,Lagi Tidur Ada notif Dari Guru,dan saya merasa terganggu dengan bug ini",1,NEGATIVE,,,,,,,,1754,"Banyak Bug,Lagi Tidur Ada notif Dari Guru,dan saya merasa terganggu dengan bug ini",1,NEGATIVE
1755,Aplikasi ini sangat bagus digunakan buat para pelajar,5,POSITIVE,,,,,,,,1755,Aplikasi ini sangat bagus digunakan buat para pelajar,5,POSITIVE
1756,"Tiap hari ngebug mulu, lagi ngedit tiba tiba ada notif, lagi tidur tiba tiba ada notif Tolong lah difix bug nya Mengganggu sekali",1,NEGATIVE,,,,,,,,1756,"Tiap hari ngebug mulu, lagi ngedit tiba tiba ada notif, lagi tidur tiba tiba ada notif Tolong lah difix bug nya Mengganggu sekali",1,NEGATIVE
1757,SAYA MINTA TOLONG UNTUK NOTIF YANG BERLEBIHAN DARI GURU TOLONG DIFIKS AGAR KETIKA SAYA TIDUR PADA MALAM HARI TIDAK ADA SUARA,5,POSITIVE,,,,,,,,1757,SAYA MINTA TOLONG UNTUK NOTIF YANG BERLEBIHAN DARI GURU TOLONG DIFIKS AGAR KETIKA SAYA TIDUR PADA MALAM HARI TIDAK ADA SUARA,5,POSITIVE
1758,"Jelek banget cuk, masa baru bangun dapat notif, dari gc, bukan nya serapan malah dapat spam notif dari cikgu :)",1,NEGATIVE,,,,,,,,1758,"Jelek banget cuk, masa baru bangun dapat notif, dari gc, bukan nya serapan malah dapat spam notif dari cikgu :)",1,NEGATIVE
1759,kenapa gaada notifikasi sih ini? jadi kelewat mulu deadline tugas!!.,2,NEGATIVE,,,,,,,,1759,kenapa gaada notifikasi sih ini? jadi kelewat mulu deadline tugas!!.,2,NEGATIVE
1760,Wah gak baik sih ini pemaksaan di suruh download APK ini 😫😑,1,NEGATIVE,,,,,,,,1760,Wah gak baik sih ini pemaksaan di suruh download APK ini 😫😑,1,NEGATIVE
1761,Tolong perbaiki bug nya ya soalnya gw lagi enak² tidur ek tiba² ada notif tugas mana gw gk ngerti lagi,1,NEGATIVE,,,,,,,,1761,Tolong perbaiki bug nya ya soalnya gw lagi enak² tidur ek tiba² ada notif tugas mana gw gk ngerti lagi,1,NEGATIVE
1762,Cocok sekali untuk belajar di masa pandemi covid 19,5,POSITIVE,,,,,,,,1762,Cocok sekali untuk belajar di masa pandemi covid 19,5,POSITIVE
1763,Upload file kecil aja lama apa lagi file yang besar,1,NEGATIVE,,,,,,,,1763,Upload file kecil aja lama apa lagi file yang besar,1,NEGATIVE
1764,"peforma aplikasi semakin lama makin jelek, selalu ada hambatan setiap menggungah dokumen disana",1,NEGATIVE,,,,,,,,1764,"peforma aplikasi semakin lama makin jelek, selalu ada hambatan setiap menggungah dokumen disana",1,NEGATIVE
1765,"Banyak bugnya,tolong kenapa saya gk bisa buka file google drive dari google classroom?",1,NEGATIVE,,,,,,,,1765,"Banyak bugnya,tolong kenapa saya gk bisa buka file google drive dari google classroom?",1,NEGATIVE
1766,APLIKASI NYA BAGUS TAPI TOLONG DI BATASI JUMLAH NGASI TUGAS NYA!!!!!!,5,POSITIVE,,,,,,,,1766,APLIKASI NYA BAGUS TAPI TOLONG DI BATASI JUMLAH NGASI TUGAS NYA!!!!!!,5,POSITIVE
1767,"Kenapa ya classroom saya error trus,ga bisa lihat tugas yg baru dikasih padahal sudah saya segarkan",1,NEGATIVE,,,,,,,,1767,"Kenapa ya classroom saya error trus,ga bisa lihat tugas yg baru dikasih padahal sudah saya segarkan",1,NEGATIVE
1768,"haloo saya murid classroom, mau tanya bagaimana caranya mengirim kode kelas ke pada teman²",5,POSITIVE,,,,,,,,1768,"haloo saya murid classroom, mau tanya bagaimana caranya mengirim kode kelas ke pada teman²",5,POSITIVE
1769,Apk nya ngebug masa lagi enak enak tidur malah ada notifikasi tugas!!??,1,NEGATIVE,,,,,,,,1769,Apk nya ngebug masa lagi enak enak tidur malah ada notifikasi tugas!!??,1,NEGATIVE
1770,"Selalu bermasalah, setiap guru ngasih materi lambat bgt masuk ke GC mohon bug segera diperbaiki",1,NEGATIVE,,,,,,,,1770,"Selalu bermasalah, setiap guru ngasih materi lambat bgt masuk ke GC mohon bug segera diperbaiki",1,NEGATIVE
1771,Tolonglah banyak bug tolong perbaiki kalo udah lewat jam 12 jangan ada notif tugas bagian tidur itu,1,NEGATIVE,,,,,,,,1771,Tolonglah banyak bug tolong perbaiki kalo udah lewat jam 12 jangan ada notif tugas bagian tidur itu,1,NEGATIVE
1772,Tolong perbaiki bug nya..... Setiap saya bermain mobile legends slalu ada notif tugas mohon secepat nya di perbaiki,1,NEGATIVE,,,,,,,,1772,Tolong perbaiki bug nya..... Setiap saya bermain mobile legends slalu ada notif tugas mohon secepat nya di perbaiki,1,NEGATIVE
1773,Kenapa ya gabisa melihat akurasi nilai setelah mengerjakan,1,NEGATIVE,,,,,,,,1773,Kenapa ya gabisa melihat akurasi nilai setelah mengerjakan,1,NEGATIVE
1774,Kenapa saat mengirim tugas sangat lama,1,NEGATIVE,,,,,,,,1774,Kenapa saat mengirim tugas sangat lama,1,NEGATIVE
1775,Aplikasi ini banyak bug nya contoh nya saat saya rebahan tiba tub ada notifikasi tugas masuk saya sangad membenci bug itu tolong di perbaiki ya,1,NEGATIVE,,,,,,,,1775,Aplikasi ini banyak bug nya contoh nya saat saya rebahan tiba tub ada notifikasi tugas masuk saya sangad membenci bug itu tolong di perbaiki ya,1,NEGATIVE
1776,Tolonglah gimana saya mau tepat waktu mengerjakan tugas klo notifikasinya aj tidak ada .Mohon di perbaiki lagi,1,NEGATIVE,,,,,,,,1776,Tolonglah gimana saya mau tepat waktu mengerjakan tugas klo notifikasinya aj tidak ada .Mohon di perbaiki lagi,1,NEGATIVE
1777,"rusak di update malah rusak, mau ngumpul via link, drive ga bisa kek dlu rusak sudah rusak",1,NEGATIVE,,,,,,,,1777,"rusak di update malah rusak, mau ngumpul via link, drive ga bisa kek dlu rusak sudah rusak",1,NEGATIVE
1778,"Tolong lah, apk ini banyak bug, contoh sering kali muncul notifikasi dari guru saya tolong hapus bug itu kntl",1,NEGATIVE,,,,,,,,1778,"Tolong lah, apk ini banyak bug, contoh sering kali muncul notifikasi dari guru saya tolong hapus bug itu kntl",1,NEGATIVE
1779,kenapa google classroom saya pdf atau dokumen apapun dari guru tidak bisa dibuka ya?,5,POSITIVE,,,,,,,,1779,kenapa google classroom saya pdf atau dokumen apapun dari guru tidak bisa dibuka ya?,5,POSITIVE
1780,ada bug setiap baru bngun tidur sudah ada tugas yg mengganggu tidur saya tolong di perbaiki,1,NEGATIVE,,,,,,,,1780,ada bug setiap baru bngun tidur sudah ada tugas yg mengganggu tidur saya tolong di perbaiki,1,NEGATIVE
1781,Tolong kak aplikasinya di perbaiki lagi masa tugas yg. Di kirimin sekarng besoknya baru masuk,1,NEGATIVE,,,,,,,,1781,Tolong kak aplikasinya di perbaiki lagi masa tugas yg. Di kirimin sekarng besoknya baru masuk,1,NEGATIVE
1782,KALO BUAT NGRIM TUGAS LEMOT BANGET!!!!!! TERPAKSA DOWNLOAD INI BUAT DARING🙃,1,NEGATIVE,,,,,,,,1782,KALO BUAT NGRIM TUGAS LEMOT BANGET!!!!!! TERPAKSA DOWNLOAD INI BUAT DARING🙃,1,NEGATIVE
1783,"Banyak bug!saya lagi enak tiduran tiba² ada notif tugas,tolong bug nya segera di fix agar guru saya tidak lagi mengirim tugas",1,NEGATIVE,,,,,,,,1783,"Banyak bug!saya lagi enak tiduran tiba² ada notif tugas,tolong bug nya segera di fix agar guru saya tidak lagi mengirim tugas",1,NEGATIVE
1784,Aplikasi ini banyak bug lagi enak² tiduran malah ada notif tugas🖕,1,NEGATIVE,,,,,,,,1784,Aplikasi ini banyak bug lagi enak² tiduran malah ada notif tugas🖕,1,NEGATIVE
1785,Banyak pengalaman yang tadinya tdk fahu menjadi tahu,1,NEGATIVE,,,,,,,,1785,Banyak pengalaman yang tadinya tdk fahu menjadi tahu,1,NEGATIVE
1786,"ADUHHH, Ngapa sih apk ini dibuat, gw juga baru bangun tiba tiba muncul notif dari nih apk",1,NEGATIVE,,,,,,,,1786,"ADUHHH, Ngapa sih apk ini dibuat, gw juga baru bangun tiba tiba muncul notif dari nih apk",1,NEGATIVE
1787,Selama ini pemakaiannya sudah nyaman akan yetapi masih ada kendala error saat mengirimkan tugas,4,POSITIVE,,,,,,,,1787,Selama ini pemakaiannya sudah nyaman akan yetapi masih ada kendala error saat mengirimkan tugas,4,POSITIVE
1788,Sangat bermanfaat utk media mengajar di sekolah dgn Pembelajaran Jarak Jauh (PJJ),5,POSITIVE,,,,,,,,1788,Sangat bermanfaat utk media mengajar di sekolah dgn Pembelajaran Jarak Jauh (PJJ),5,POSITIVE
1789,"Bug nya benerin lah admin capek gw tiap hari GK bisa ngumpulin tugas notifnya ""tidak dapat menampilkan file Drive"" kan bangke",1,NEGATIVE,,,,,,,,1789,"Bug nya benerin lah admin capek gw tiap hari GK bisa ngumpulin tugas notifnya ""tidak dapat menampilkan file Drive"" kan bangke",1,NEGATIVE
1790,ini knp suka ga kekirim tugas nya? jadinya terlambat diselesaikan padahal udah ngerjain sblm tenggat waktu,2,NEGATIVE,,,,,,,,1790,ini knp suka ga kekirim tugas nya? jadinya terlambat diselesaikan padahal udah ngerjain sblm tenggat waktu,2,NEGATIVE
1791,Aplikasi yg sangat bagus.................................................................................................................................................................................................................................................................................................................................................................................................................................................................................tapi boong,1,NEGATIVE,,,,,,,,1791,Aplikasi yg sangat bagus.................................................................................................................................................................................................................................................................................................................................................................................................................................................................................tapi boong,1,NEGATIVE
1792,Kenapa kalau gurun.kirim tugas ke kita tapi gak ada,2,NEGATIVE,,,,,,,,1792,Kenapa kalau gurun.kirim tugas ke kita tapi gak ada,2,NEGATIVE
1793,"Tolong yang buat apknya di perbaiki lagi performa sinyalnya, soalnya dari tadi jelek mulu,padahal sinyal aku bagus. 😌",4,POSITIVE,,,,,,,,1793,"Tolong yang buat apknya di perbaiki lagi performa sinyalnya, soalnya dari tadi jelek mulu,padahal sinyal aku bagus. 😌",4,POSITIVE
1794,Bugnya tolong diperbaiki Muncul notifikasi tugas banyak sekali!!!!!,1,NEGATIVE,,,,,,,,1794,Bugnya tolong diperbaiki Muncul notifikasi tugas banyak sekali!!!!!,1,NEGATIVE
1795,saya kecewa tidak bisa mengirim foto tugas padahal sudah menunggu lama tapi loading terus,2,NEGATIVE,,,,,,,,1795,saya kecewa tidak bisa mengirim foto tugas padahal sudah menunggu lama tapi loading terus,2,NEGATIVE
1796,aplikasi nya bagus bgt!!!!!!!!!!!,5,POSITIVE,,,,,,,,1796,aplikasi nya bagus bgt!!!!!!!!!!!,5,POSITIVE
1797,Yahaahaa daring ya nugas numpuk? Yaahaaaa daring di perpanjang kasian deh Untung udah lulus yahaaaha sekolah kok online ulangan kok Brantly lu sekolah apa ngerjain skripsi hayaaahaaa yang instal guru sama murid doang lagi palepalepale makan tu daring😂😂,5,POSITIVE,,,,,,,,1797,Yahaahaa daring ya nugas numpuk? Yaahaaaa daring di perpanjang kasian deh Untung udah lulus yahaaaha sekolah kok online ulangan kok Brantly lu sekolah apa ngerjain skripsi hayaaahaaa yang instal guru sama murid doang lagi palepalepale makan tu daring😂😂,5,POSITIVE
1798,"Tolong di perbaiki, kirim tugas susah pake banget, nunggunya lama padahal pake wifi",2,NEGATIVE,,,,,,,,1798,"Tolong di perbaiki, kirim tugas susah pake banget, nunggunya lama padahal pake wifi",2,NEGATIVE
1799,"Aplikasi ini sangat tidak membantu sering ngebug ketika rebahan notifikasi masuk, nggqngu aja, kalo gak liat di marahin ajg jangan donloaad ya bngst",1,NEGATIVE,,,,,,,,1799,"Aplikasi ini sangat tidak membantu sering ngebug ketika rebahan notifikasi masuk, nggqngu aja, kalo gak liat di marahin ajg jangan donloaad ya bngst",1,NEGATIVE
1800,keren tpi!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!haram untuk di download,1,NEGATIVE,,,,,,,,1800,keren tpi!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!haram untuk di download,1,NEGATIVE
1801,Oke sekarang udah sip!! Gini donk aku jadi semangat belajarnya!! Sukses terus ya!!!,5,POSITIVE,,,,,,,,1801,Oke sekarang udah sip!! Gini donk aku jadi semangat belajarnya!! Sukses terus ya!!!,5,POSITIVE
1802,Assalamualaikum kenapa aplikasi ini g abisa login ke grup kls nya siiii saya dri tdii pagiiiii pusing mikirinnnnn ini tolong diperbaiki lgi apk ny jga setelah di update bukan malah tambah bagus malahh tambah ilang semuaaa kls ny tolong diperbaikii lgi!!!!,1,NEGATIVE,,,,,,,,1802,Assalamualaikum kenapa aplikasi ini g abisa login ke grup kls nya siiii saya dri tdii pagiiiii pusing mikirinnnnn ini tolong diperbaiki lgi apk ny jga setelah di update bukan malah tambah bagus malahh tambah ilang semuaaa kls ny tolong diperbaikii lgi!!!!,1,NEGATIVE
1803,Tolong di hapus bug nya gua masih tidur tiba tiba ada tugas males benget tolong segera di updet menjadi notif mobile legend,1,NEGATIVE,,,,,,,,1803,Tolong di hapus bug nya gua masih tidur tiba tiba ada tugas males benget tolong segera di updet menjadi notif mobile legend,1,NEGATIVE
1804,"NI APK HARAM ANJENGG G GUNA BKNNYA GW NGURANGIN BEBAN PIKIRAN MALAH NAMBAH BEBAN PIKIRAN GA PAGI, SORE, MAALAM, ADA AJA NOTIFIKASI TULISAN JANGAN LUPA YAH ANAK ANAK DI KERJAKAN SOAL YG IBU/BAPAK KASIH. TRUS ADA JUGA (ANAK ANAK TAR JAM 9 PAGI KITA ZOOM YAH KALIAN HARUS PDA ADA SEMUA YAH HUH ENAK BANGAT LU YAH BUAT APK G GUNA GINI ANJENG",1,NEGATIVE,,,,,,,,1804,"NI APK HARAM ANJENGG G GUNA BKNNYA GW NGURANGIN BEBAN PIKIRAN MALAH NAMBAH BEBAN PIKIRAN GA PAGI, SORE, MAALAM, ADA AJA NOTIFIKASI TULISAN JANGAN LUPA YAH ANAK ANAK DI KERJAKAN SOAL YG IBU/BAPAK KASIH. TRUS ADA JUGA (ANAK ANAK TAR JAM 9 PAGI KITA ZOOM YAH KALIAN HARUS PDA ADA SEMUA YAH HUH ENAK BANGAT LU YAH BUAT APK G GUNA GINI ANJENG",1,NEGATIVE
1805,Susah sekali kl pas upload tugas yg video,1,NEGATIVE,,,,,,,,1805,Susah sekali kl pas upload tugas yg video,1,NEGATIVE
1806,Knp Sih Harus Ngirim file lewat Drive?Lewat lain bisa kan kok Lu Bikin jadi eror sih Apk nya . Developer tolong perbaiki Bugg,1,NEGATIVE,,,,,,,,,,,
1807,Terlalu banyak bug notifikasi tugas }:‑),1,NEGATIVE,,,,,,,,,,,
1808,Yang gk bisa melampirkan file diclassroom coba cek penyimpanan Drivenya barang kali udh penuh jadi gk bisa melampirkan file,5,POSITIVE,,,,,,,,,,,
1809,kenapa ya apk nya suka eror tolong dong perbaiki lagi,1,NEGATIVE,,,,,,,,,,,
1810,"Aplksinya banyak bug, lagi enak² tiduran tiba² ada notif tugas. Tlng agar segra di fix agar guru saya tidk mengirim tugas lagi",1,NEGATIVE,,,,,,,,,,,
1811,"Tolong untuk google classroom, ko saya di update makin jelek ya? notifikasi dari apk google classroom ini jadi ga ada",1,NEGATIVE,,,,,,,,,,,
1812,Apk ini sangat berguna di masa pandemi ini terimakasij yang sudah menciptakan apk ini :D,5,POSITIVE,,,,,,,,,,,
1813,Masih banyak Bug lagi enak tidur ada notif dari guru,1,NEGATIVE,,,,,,,,,,,
1814,Tolong diperbaiki!! Kenapa sekarang komentar ga ada namanya dan ga bisa dihapus,1,NEGATIVE,,,,,,,,,,,
1815,Tolong di perbaiki sistem saat meng-upload video Padahal cuma 1 MB rasanya kyk ngrim video 1 GB,2,NEGATIVE,,,,,,,,,,,
1816,Sangat bagus sekali tapi kenapa aflikasi ini tidak tersimpan setelah di instal ya.,5,POSITIVE,,,,,,,,,,,
1817,"Aplikasinya sangat bagus, terus ditingkatkan y",5,POSITIVE,,,,,,,,,,,
1818,Aplikasinya sangat membantu untuk pembelajaran daring.sekedar itu infonya ya👍👍👍👍👍👍👍👍👍👍👍👍👍,5,POSITIVE,,,,,,,,,,,
1819,"HALO,SAYA PENGGUNA APLIKASI INI,TOLONG HILANGI BUG NYA,DI SAAT MASUK KE APK ADA NOTIF BELUM TERSAMBUNG KE JARINGAN DAN DISAAT MENGIRIM TIDAK BISA ITU AJA ULASAN SAYA",1,NEGATIVE,,,,,,,,,,,
1820,Tolong tambahkan fitur di mana murid bisa tahu bahwa guru sudah melihat tugas nya.,5,POSITIVE,,,,,,,,,,,
1821,"Banyak bug 🐞yang aneh, setiap hari ada notif² g jelas dan bikin kepala saya pusing",1,NEGATIVE,,,,,,,,,,,
1822,"tolong diperbaiki pada saat upload file, karena lama sekali untuk bisa di upload.",1,NEGATIVE,,,,,,,,,,,
1823,"Anda meresahkan sekali ya saya baru bangun sudah di spam tugas, ini gara gara anda",1,NEGATIVE,,,,,,,,,,,
1824,"Lama notif, alhasil saya dirugikan karena bermasalah dengan guru yang bersangkutan",2,NEGATIVE,,,,,,,,,,,
1825,Banyak bug yang terjadi karna notif muncul terus menerus tolong update kali ini notif di kurangi,1,NEGATIVE,,,,,,,,,,,
1826,Aplikasinya bagus saya download aplikasi INI guru saya langsung ngirimin tugas dan saya pun stress,5,POSITIVE,,,,,,,,,,,
1827,Apk nya................................. .................................................................................................................................................................................................................................................................................................................................................................................bikin panik😄,1,NEGATIVE,,,,,,,,,,,
1828,aplikasi sangat meresahkan gara gara aplikasi ini guru guru pada ngasih tugas mulu(:,1,NEGATIVE,,,,,,,,,,,
1829,"Aplikasi kurang bagus,,,.......tugas makin numpuk,, pinter hnte, stress heeh",1,NEGATIVE,,,,,,,,,,,
1830,"Aplikasinya bagus, tapi kenapa klo ngirim tugas seperti video lama padahal jaringan bagus klo bisa tolong dipercepat 🙏",5,POSITIVE,,,,,,,,,,,
1831,"Apa ini aplikasi jelek banyak notif,saya gak suka",1,NEGATIVE,,,,,,,,,,,
1832,Kenapa kalau mengirim tugas melalui link dari google drive selalu gagal ya? Padahal sudah dicoba berkali-kali,2,NEGATIVE,,,,,,,,,,,
1833,nge upload video 13 detik baru ke upload 10 menit kemudian dah gitu corrup gajelas bikin habis waktu mati aja udah gaguna lu,1,NEGATIVE,,,,,,,,,,,
1834,Terimakasih telah membuat saya depresi 2 tahun.,1,NEGATIVE,,,,,,,,,,,
1835,Membantu saya dan anak-anak bangsa Indonesia belajar,5,POSITIVE,,,,,,,,,,,
1836,Ini gmnaa sih semua mata pelajaran saya hilang semuanya,1,NEGATIVE,,,,,,,,,,,
1837,"Pada awalnya aplikasi ini bagus, namun semakin diperbarui tdk ada notif tugas.",5,POSITIVE,,,,,,,,,,,
1838,"Aplikasi yang sangat membantu,. . . . . . Membantu orang supaya menjadi stress",1,NEGATIVE,,,,,,,,,,,
1839,Tolong classroom di update lagi ke versi yang sebelumnya Tolong di mengerti ya...,4,POSITIVE,,,,,,,,,,,
1840,Aplikasi banyak bug padahal saya enak enak rebahan tiba tiba ada notif tugas tolong bug nya dibenerin soalnya bug nya sangat meresahkan,1,NEGATIVE,,,,,,,,,,,
1841,Sial amat sih ni aplikasi pas liat lampiran nya lama banget emang yari ribut,1,NEGATIVE,,,,,,,,,,,
1842,Kenapa nih? Kok setiap ngirim tugas ga pernah bisa? Lagi error??,1,NEGATIVE,,,,,,,,,,,
1843,Kenapa tidak bisa mengirim tugas? Padahal saya sudah update... Tolong perbaiki,2,NEGATIVE,,,,,,,,,,,
1844,Aku benci apk ini karna apk ini saya mempunyaj banyak pr yg membuat otak saya meledak saya benar benar benci apk ini apk ini sama sekali tak membantu malah membuat para siswa gila,1,NEGATIVE,,,,,,,,,,,
